pid,dim,adcon,tv,rating,age,agecat,dprime
6706522,games,addressable,choice,2.75,36,35.54,-0.625797252
6706574,car,non-address,choice,2.25,25,18_34,0
6706574,cruise,addressable,choice,0.75,25,18_34,0.871671945
6706574,dog,addressable,choice,2.5,25,18_34,0
6706574,games,non-address,choice,-3,25,18_34,0.589455798
6706661,car,non-address,choice,-1.25,35,35.54,-0.871671945
6706661,cruise,non-address,choice,0.5,35,35.54,-0.282216147
6706661,dog,addressable,choice,3.25,35,35.54,0.589455798
6706661,games,addressable,choice,4.75,35,35.54,1.593218818
6706759,car,addressable,choice,2,43,35.54,0.564432294
6706759,cruise,non-address,choice,0.5,43,35.54,1.556877364
6706759,dog,non-address,choice,0.75,43,35.54,0.564432294
6706759,games,addressable,choice,3.75,43,35.54,1.875434965
6706840,car,non-address,choice,0,56,55+,-0.282216147
6706840,cruise,addressable,choice,1.5,56,55+,0.282216147
6706840,dog,non-address,choice,1.25,56,55+,-0.282216147
6706840,games,addressable,choice,3,56,55+,-0.282216147
6706924,car,non-address,random,0.5,53,35.54,-0.967421566
6706924,cruise,non-address,random,0,53,35.54,1.00376302
6706924,dog,addressable,random,1.5,53,35.54,0
6706924,games,addressable,random,6,53,35.54,-0.589455798
6706960,car,addressable,choice,0,58,55+,1.875434965
6706960,cruise,non-address,choice,-0.25,58,55+,0.967421566
6706960,dog,non-address,choice,0,58,55+,1.875434965
6706960,games,addressable,choice,-2,58,55+,1.593218818
6706985,car,addressable,choice,4.25,21,18_34,0.685205419
6706985,cruise,non-address,choice,2.25,21,18_34,0
6706985,dog,addressable,choice,0.75,21,18_34,-0.685205419
6706985,games,non-address,choice,4.5,21,18_34,0.307239651
6707005,car,addressable,random,0.75,51,35.54,1.00376302
6707005,cruise,non-address,random,0.75,51,35.54,0.967421566
6707005,dog,addressable,random,-0.75,51,35.54,0.589455798
6707005,games,non-address,random,-0.5,51,35.54,0.685205419
6707945,car,non-address,choice,-1.75,36,35.54,1.875434965
6707945,cruise,addressable,choice,1.75,36,35.54,-0.307239651
6707945,dog,non-address,choice,6,36,35.54,1.311002671
6707945,games,addressable,choice,1.5,36,35.54,0.564432294
6709200,car,non-address,choice,0,32,18_34,0.871671945
6709200,cruise,addressable,choice,2.5,32,18_34,0.967421566
6709200,dog,addressable,choice,3,32,18_34,0.564432294
6709200,games,non-address,choice,0,32,18_34,1.178911596
6709212,car,addressable,random,0.5,37,35.54,1.00376302
6709212,cruise,non-address,random,0,37,35.54,0.967421566
6709212,dog,addressable,random,5.75,37,35.54,0.625797252
6709212,games,non-address,random,1.25,37,35.54,-0.377965768
6710064,car,addressable,random,1.5,50,35.54,0.589455798
6710064,cruise,addressable,random,2.75,50,35.54,0.589455798
6710064,dog,non-address,random,0,50,35.54,0
6710064,games,non-address,random,0,50,35.54,0.685205419
6710190,car,addressable,choice,0.75,49,35.54,0.589455798
6710190,cruise,non-address,choice,-0.5,49,35.54,1.249637713
6710190,dog,addressable,choice,2.75,49,35.54,0.967421566
6710190,games,non-address,choice,-2.5,49,35.54,0.589455798
6710273,car,addressable,choice,8,38,35.54,1.556877364
6710273,cruise,non-address,choice,6.75,38,35.54,0
6710273,dog,non-address,choice,7.5,38,35.54,-0.307239651
6710273,games,addressable,choice,8.75,38,35.54,-0.589455798
6710643,car,non-address,choice,0.5,21,18_34,1.249637713
6710643,cruise,addressable,choice,1,21,18_34,0.377965768
6710643,dog,addressable,choice,0.5,21,18_34,0.307239651
6710643,games,non-address,choice,-3.25,21,18_34,-0.307239651
6710781,car,addressable,random,-1.75,28,18_34,1.249637713
6710781,cruise,non-address,random,-2,28,18_34,0.589455798
6710781,dog,non-address,random,0.5,28,18_34,1.593218818
6710781,games,addressable,random,1,28,18_34,2.182674616
6711514,car,non-address,random,3,20,18_34,0.589455798
6711514,cruise,addressable,random,2.75,20,18_34,0.589455798
6711514,dog,non-address,random,0.75,20,18_34,0.564432294
6711514,games,addressable,random,-1,20,18_34,0.967421566
6711617,car,addressable,choice,5,47,35.54,0.589455798
6711617,cruise,non-address,choice,3,47,35.54,-0.307239651
6711617,dog,addressable,choice,-2,47,35.54,0.685205419
6711617,games,non-address,choice,-2,47,35.54,0
6711679,car,non-address,choice,2.75,33,18_34,1.556877364
6711679,cruise,non-address,choice,2,33,18_34,0.871671945
6711679,dog,addressable,choice,4.5,33,18_34,0
6711679,games,addressable,choice,3.75,33,18_34,2.182674616
6711704,car,non-address,choice,1.25,62,55+,0.589455798
6711704,cruise,addressable,choice,3.25,62,55+,0.307239651
6711704,dog,addressable,choice,-0.5,62,55+,1.249637713
6711704,games,non-address,choice,0,62,55+,1.178911596
6711779,car,addressable,random,-1.5,36,35.54,0.282216147
6711779,cruise,non-address,random,-1,36,35.54,0.871671945
6711779,dog,non-address,random,3.5,36,35.54,1.556877364
6711779,games,addressable,random,1.5,36,35.54,0.685205419
6711886,car,addressable,choice,-6.25,50,35.54,0
6711886,cruise,non-address,choice,-7,50,35.54,0.564432294
6711886,dog,non-address,choice,-10,50,35.54,-0.307239651
6711886,games,addressable,choice,-3,50,35.54,0.589455798
6712040,car,non-address,random,-2.5,24,18_34,0.564432294
6712040,cruise,non-address,random,3.5,24,18_34,0.564432294
6712040,dog,addressable,random,0,24,18_34,1.593218818
